Fully Researched,FinalName,CustomSeeName,Name,Status,YearStart,YearEnd,Latitude,Longitude,PriorUse,Comment
# Handle Allen Sanitarium,,,,,,,,,,
FALSE,Allen Sanitarium,,Allen Sanitarium,active,1894,1901,43.02041441,-83.69719335,Flint Sanitarium,
,,,,,,,,,,
# Handle Ambulatory Surgery Center,,,,,,,,,,
FALSE,Ambulatory Surgery Center,,Ambulatory Surgery Center,activeProposal,1984,1985,43.01420549,-83.6804108,,
FALSE,Ambulatory Surgery Center,,Ambulatory Surgery Center,previousProposal,1985,9999,43.01420549,-83.6804108,,
,,,,,,,,,,
# Handle American Legion Billet,,,,,,,,,,
FALSE,American Legion Billet,,American Legion Billet,active,1924,1977,43.2213614,-83.45924647,,
FALSE,American Legion Billet,,American Legion Billet,closed,1977,1995,43.2213614,-83.45924647,,
,,,,,,,,,,
# Handle Axford Hospital,,,,,,,,,,
FALSE,Axford Hospital,,Axford Hospital,activeProposal,1862,1873,43.01809991,-83.68922483,,
FALSE,Axford Hospital,,Axford Hospital,previousProposal,1873,9999,43.01809991,-83.68922483,,
,,,,,,,,,,
# Handle Bush Building Emergency Hospital,,,,,,,,,,
FALSE,Bush Building Emergency Hospital,,Bush Building Emergency Hospital,activeProposal,1916,1917,43.01626497,-83.69283615,,
FALSE,Bush Building Emergency Hospital,,Bush Building Emergency Hospital,active,1917,1926,43.01626497,-83.69283615,,
FALSE,Bush Building Emergency Hospital,,Bush Building Emergency Hospital,closed,1926,9999,43.01626497,-83.69283615,,
,,,,,,,,,,
# Handle Contagious Disease Hospital,,,,,,,,,,
FALSE,Contagious Disease Hospital,,Contagious Disease Hospital,active,1901,1902,42.99614117,-83.6777708,,"It only operated for a matter of weeks here, moving to Flint after."
FALSE,Contagious Disease Hospital,,Contagious Disease Hospital,moved,1902,9999,42.99614117,-83.6777708,,
FALSE,Contagious Disease Hospital,,Contagious Disease Hospital,active,1901,1917,43.0253099,-83.67395032,,
FALSE,Contagious Disease Hospital,,Contagious Disease Hospital,closed,1917,9999,43.0253099,-83.67395032,,
,,,,,,,,,,
# Handle Cook's Hospital,,,,,,,,,,
FALSE,Cook's Hospital,,Cook's Hospital,active,1898,1901,43.00838863,-83.68509184,,
FALSE,Cook's Hospital,,Cook's Hospital,closed,1901,9999,43.00838863,-83.68509184,,
,,,,,,,,,,
# Handle County Insane Hospital,,,,,,,,,,
FALSE,County Insane Hospital,,County Insane Hospital,activeProposal,1928,1929,42.99765924,-83.68066517,,
FALSE,County Insane Hospital,,County Insane Hospital,active,1929,1933,42.99765924,-83.68066517,,
FALSE,County Insane Hospital,,County Insane Hospital,closed,1933,9999,42.99765924,-83.68066517,,
,,,,,,,,,,
